enemy_name,enemy_type,health,strength,agility,constitution,intelligence,wisdom,perception,abilities
Blotok,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Vokozak,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Vokanik,Kobold Shaman,7,-1,1,2,1,2,2,"Kobold Firebolt (1d6 fire, needs 14 to hit); Kobold Curse (debuffs target's strength, 1 round)"
Wagatok,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Kragar,Goblin,8,1,2,1,0,0,1,"Goblin Dagger Slash (1d6 piercing, needs 10 to hit); Goblin Sneak Attack (1d4, advantage on stealth)"
Vokazog,Kobold,6,0,2,1,-1,0,2,"Kobold Spear Thrust (1d6 piercing, needs 12 to hit); Kobold Trap (sets trap, 1d4 damage on hit)"
Blablin,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Krazak,Kobold Shaman,7,-1,1,2,1,2,2,"Kobold Firebolt (1d6 fire, needs 14 to hit); Kobold Curse (debuffs target's strength, 1 round)"
Rogatok,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Vokokrak,Goblin,8,1,2,1,0,0,1,"Goblin Dagger Slash (1d6 piercing, needs 10 to hit); Goblin Sneak Attack (1d4, advantage on stealth)"
Roganik,Kobold,6,0,2,1,-1,0,2,"Kobold Spear Thrust (1d6 piercing, needs 12 to hit); Kobold Trap (sets trap, 1d4 damage on hit)"
Vokakrak,Kobold,6,0,2,1,-1,0,2,"Kobold Spear Thrust (1d6 piercing, needs 12 to hit); Kobold Trap (sets trap, 1d4 damage on hit)"
Kruzog,Kobold Scout,6,0,3,1,0,0,3,"Kobold Stealth (advantage on stealth rolls); Kobold Spear Jab (1d4 piercing, needs 10 to hit)"
Roginik,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Vokezak,Kobold Scout,6,0,3,1,0,0,3,"Kobold Stealth (advantage on stealth rolls); Kobold Spear Jab (1d4 piercing, needs 10 to hit)"
Krekrak,Goblin,8,1,2,1,0,0,1,"Goblin Dagger Slash (1d6 piercing, needs 10 to hit); Goblin Sneak Attack (1d4, advantage on stealth)"
Gurozog,Kobold Shaman,7,-1,1,2,1,2,2,"Kobold Firebolt (1d6 fire, needs 14 to hit); Kobold Curse (debuffs target's strength, 1 round)"
Vokakrak,Kobold Shaman,7,-1,1,2,1,2,2,"Kobold Firebolt (1d6 fire, needs 14 to hit); Kobold Curse (debuffs target's strength, 1 round)"
Krazak,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Vokinik,Goblin,8,1,2,1,0,0,1,"Goblin Dagger Slash (1d6 piercing, needs 10 to hit); Goblin Sneak Attack (1d4, advantage on stealth)"
Greblin,Kobold Scout,6,0,3,1,0,0,3,"Kobold Stealth (advantage on stealth rolls); Kobold Spear Jab (1d4 piercing, needs 10 to hit)"
Krikug,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Vokakug,Kobold Scout,6,0,3,1,0,0,3,"Kobold Stealth (advantage on stealth rolls); Kobold Spear Jab (1d4 piercing, needs 10 to hit)"
Vokakrak,Goblin,8,1,2,1,0,0,1,"Goblin Dagger Slash (1d6 piercing, needs 10 to hit); Goblin Sneak Attack (1d4, advantage on stealth)"
Vokinik,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Wagadok,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Zikinik,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Snokrak,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Rogatok,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Rogublin,Goblin,8,1,2,1,0,0,1,"Goblin Dagger Slash (1d6 piercing, needs 10 to hit); Goblin Sneak Attack (1d4, advantage on stealth)"
Rogidok,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Rogezak,Kobold,6,0,2,1,-1,0,2,"Kobold Spear Thrust (1d6 piercing, needs 12 to hit); Kobold Trap (sets trap, 1d4 damage on hit)"
Snidok,Kobold Shaman,7,-1,1,2,1,2,2,"Kobold Firebolt (1d6 fire, needs 14 to hit); Kobold Curse (debuffs target's strength, 1 round)"
Gurikrak,Goblin,8,1,2,1,0,0,1,"Goblin Dagger Slash (1d6 piercing, needs 10 to hit); Goblin Sneak Attack (1d4, advantage on stealth)"
Wagogash,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Krakug,Kobold,6,0,2,1,-1,0,2,"Kobold Spear Thrust (1d6 piercing, needs 12 to hit); Kobold Trap (sets trap, 1d4 damage on hit)"
Rogagar,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Vokekrak,Goblin,8,1,2,1,0,0,1,"Goblin Dagger Slash (1d6 piercing, needs 10 to hit); Goblin Sneak Attack (1d4, advantage on stealth)"
Blozak,Kobold Scout,6,0,3,1,0,0,3,"Kobold Stealth (advantage on stealth rolls); Kobold Spear Jab (1d4 piercing, needs 10 to hit)"
Rogublin,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Vokezog,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Rogonik,Kobold Shaman,7,-1,1,2,1,2,2,"Kobold Firebolt (1d6 fire, needs 14 to hit); Kobold Curse (debuffs target's strength, 1 round)"
Vokagar,Goblin Berserker,12,2,1,2,0,-1,0,"Goblin Furious Strike (1d8 slashing, needs 10 to hit, bonus damage when below 5 HP)"
Tukegash,Kobold Scout,6,0,3,1,0,0,3,"Kobold Stealth (advantage on stealth rolls); Kobold Spear Jab (1d4 piercing, needs 10 to hit)"
Snedok,Kobold,6,0,2,1,-1,0,2,"Kobold Spear Thrust (1d6 piercing, needs 12 to hit); Kobold Trap (sets trap, 1d4 damage on hit)"
Tukazak,Goblin Archer,8,1,3,1,0,0,2,"Goblin Arrow Shot (1d6 piercing, needs 12 to hit); Goblin Dodge (bonus action to avoid attack, needs 15)"
Tukazak,Kobold Shaman,7,-1,1,2,1,2,2,"Kobold Firebolt (1d6 fire, needs 14 to hit); Kobold Curse (debuffs target's strength, 1 round)"
Gurikug,Kobold Scout,6,0,3,1,0,0,3,"Kobold Stealth (advantage on stealth rolls); Kobold Spear Jab (1d4 piercing, needs 10 to hit)"
Vokakrak,Kobold Scout,6,0,3,1,0,0,3,"Kobold Stealth (advantage on stealth rolls); Kobold Spear Jab (1d4 piercing, needs 10 to hit)"
Zikizak,Goblin,8,1,2,1,0,0,1,"Goblin Dagger Slash (1d6 piercing, needs 10 to hit); Goblin Sneak Attack (1d4, advantage on stealth)"
